user_id,restaurants_id,name,ratings
bf46bdaf,7,九州じゃんがららあめん,0
bf6a4a22,7,九州じゃんがららあめん,2
c4b46226,7,九州じゃんがららあめん,5
d01a08a2,7,九州じゃんがららあめん,3
d10b689b,7,九州じゃんがららあめん,2
d1f09559,7,九州じゃんがららあめん,3
d3158603,7,九州じゃんがららあめん,3
d519fd46,7,九州じゃんがららあめん,3
d7d382df,7,九州じゃんがららあめん,0
d806001b,7,九州じゃんがららあめん,1
d88258e0,7,九州じゃんがららあめん,3
d8eb17f0,7,九州じゃんがららあめん,3
da1a0b56,7,九州じゃんがららあめん,2
da79baea,7,九州じゃんがららあめん,3
da7b22b4,7,九州じゃんがららあめん,2
db09cb37,7,九州じゃんがららあめん,3
e67387cf,7,九州じゃんがららあめん,2
e7415500,7,九州じゃんがららあめん,2
e981caf5,7,九州じゃんがららあめん,3
edf94ace,7,九州じゃんがららあめん,2
ee139b07,7,九州じゃんがららあめん,2
f0668cbc,7,九州じゃんがららあめん,4
f176c98f,7,九州じゃんがららあめん,3
f38e125c,7,九州じゃんがららあめん,3
f41060cc,7,九州じゃんがららあめん,4
f6de5190,7,九州じゃんがららあめん,1
f98a5936,7,九州じゃんがららあめん,3
fa049e76,7,九州じゃんがららあめん,3
18173eb0,8,九州じゃんがら,4
1a12db7d,8,九州じゃんがら,2
20a1682c,8,九州じゃんがら,4
238da795,8,九州じゃんがら,2
275971c4,8,九州じゃんがら,3
2a56ebbc,8,九州じゃんがら,4
34105680,8,九州じゃんがら,1
397eec9f,8,九州じゃんがら,5
41181669,8,九州じゃんがら,4
4ad4633c,8,九州じゃんがら,5
4b21671f,8,九州じゃんがら,4
4c1a1e42,8,九州じゃんがら,3
4eeb4a67,8,九州じゃんがら,4
5a07ca58,8,九州じゃんがら,3
62867e47,8,九州じゃんがら,5
6f34c01f,8,九州じゃんがら,3
6f49abb2,8,九州じゃんがら,2
7f0b764b,8,九州じゃんがら,4
8084048b,8,九州じゃんがら,3
9432a2a6,8,九州じゃんがら,4
9a6eb2e1,8,九州じゃんがら,4
9b5dafc3,8,九州じゃんがら,5
9b9fb0a1,8,九州じゃんがら,4
9bb7092b,8,九州じゃんがら,3
9c6e1aa8,8,九州じゃんがら,4
aa5103dd,8,九州じゃんがら,4
b6022f96,8,九州じゃんがら,2
b8b4e039,8,九州じゃんがら,4
bcd0dad6,8,九州じゃんがら,4
bfd0d432,8,九州じゃんがら,4
c11b0ca1,8,九州じゃんがら,5
c23a4624,8,九州じゃんがら,4
c608b3f0,8,九州じゃんがら,3
d01a08a2,8,九州じゃんがら,3
d2530105,8,九州じゃんがら,3
e787785f,8,九州じゃんがら,4
038cf219,9,桂花,4
09127da3,9,桂花,1
0d3892a1,9,桂花,3
11e670fb,9,桂花,4
17dcec19,9,桂花,4
17eeac16,9,桂花,3
264f5a6c,9,桂花,2
294fc373,9,桂花,2
2cdba597,9,桂花,5
2f99e63f,9,桂花,5
346a5f76,9,桂花,3
355255a2,9,桂花,3
36022dc4,9,桂花,3
3ffe9244,9,桂花,2
43e4d9e0,9,桂花,2
451da6ed,9,桂花,3
47e0e31f,9,桂花,3
4b21671f,9,桂花,2
4b303b97,9,桂花,3
4c1a1e42,9,桂花,4
4c578caa,9,桂花,1
4ceff17b,9,桂花,3
4f9fa0d0,9,桂花,3
54cb6bd5,9,桂花,4
5a07ca58,9,桂花,4
5c3865d8,9,桂花,4
63d99fd8,9,桂花,3
64705906,9,桂花,3
64a39b13,9,桂花,2
66586162,9,桂花,3
6d7e0fd8,9,桂花,4
6f34c01f,9,桂花,4
6f4e92c3,9,桂花,3
71be176f,9,桂花,3
7251b392,9,桂花,4
78d03e87,9,桂花,3
7be3ee5c,9,桂花,3
7c210a6b,9,桂花,5
7fee262d,9,桂花,4
8c24ddc7,9,桂花,3
90a2d803,9,桂花,3
9435eb16,9,桂花,3
9813a764,9,桂花,3
